2, 6, (0, 0, 0, 0, 0, 0), (1, 4); 0 // 1
2, 6, (0, 0, 0, 0, 0, 0), (3, 3); 0 // 1
2, 6, (0, 0, 0, 0, 0, 0), (5, 2); 0 // 1
2, 6, (0, 0, 0, 0, 0, 0), (7, 1); 0 // 1
2, 6, (0, 0, 0, 0, 0, 0), (9, 0); 0 // 1
2, 6, (1, 0, 0, 0, 0, 0), (0, 4); 0 // 1
2, 6, (1, 0, 0, 0, 0, 0), (2, 3); 0 // 1
2, 6, (1, 0, 0, 0, 0, 0), (4, 2); 0 // 1
2, 6, (1, 0, 0, 0, 0, 0), (6, 1); 0 // 1
2, 6, (1, 0, 0, 0, 0, 0), (8, 0); 0 // 1
2, 6, (2, 0, 0, 0, 0, 0), (1, 3); 0 // 1
2, 6, (2, 0, 0, 0, 0, 0), (3, 2); 0 // 1
2, 6, (2, 0, 0, 0, 0, 0), (5, 1); 0 // 1
2, 6, (2, 0, 0, 0, 0, 0), (7, 0); 0 // 1
2, 6, (1, 1, 0, 0, 0, 0), (1, 3); 0 // 1
2, 6, (1, 1, 0, 0, 0, 0), (3, 2); 0 // 1
2, 6, (1, 1, 0, 0, 0, 0), (5, 1); 0 // 1
2, 6, (1, 1, 0, 0, 0, 0), (7, 0); 0 // 1
2, 6, (3, 0, 0, 0, 0, 0), (0, 3); 0 // 1
2, 6, (3, 0, 0, 0, 0, 0), (2, 2); 0 // 1
2, 6, (3, 0, 0, 0, 0, 0), (4, 1); 0 // 1
2, 6, (3, 0, 0, 0, 0, 0), (6, 0); 0 // 1
2, 6, (2, 1, 0, 0, 0, 0), (0, 3); 0 // 1
2, 6, (2, 1, 0, 0, 0, 0), (2, 2); 0 // 1
2, 6, (2, 1, 0, 0, 0, 0), (4, 1); 0 // 1
2, 6, (2, 1, 0, 0, 0, 0), (6, 0); 0 // 1
2, 6, (1, 1, 1, 0, 0, 0), (0, 3); 0 // 1
2, 6, (1, 1, 1, 0, 0, 0), (2, 2); 0 // 1
2, 6, (1, 1, 1, 0, 0, 0), (4, 1); 0 // 1
2, 6, (1, 1, 1, 0, 0, 0), (6, 0); 0 // 1
2, 6, (4, 0, 0, 0, 0, 0), (1, 2); 0 // 1
2, 6, (4, 0, 0, 0, 0, 0), (3, 1); 0 // 1
2, 6, (4, 0, 0, 0, 0, 0), (5, 0); 0 // 1
2, 6, (3, 1, 0, 0, 0, 0), (1, 2); 0 // 1
2, 6, (3, 1, 0, 0, 0, 0), (3, 1); 0 // 1
2, 6, (3, 1, 0, 0, 0, 0), (5, 0); 0 // 1
2, 6, (2, 2, 0, 0, 0, 0), (1, 2); 0 // 1
2, 6, (2, 2, 0, 0, 0, 0), (3, 1); 0 // 1
2, 6, (2, 2, 0, 0, 0, 0), (5, 0); 0 // 1
2, 6, (2, 1, 1, 0, 0, 0), (1, 2); 0 // 1
2, 6, (2, 1, 1, 0, 0, 0), (3, 1); 0 // 1
2, 6, (2, 1, 1, 0, 0, 0), (5, 0); 0 // 1
2, 6, (1, 1, 1, 1, 0, 0), (1, 2); 0 // 1
2, 6, (1, 1, 1, 1, 0, 0), (3, 1); 0 // 1
2, 6, (1, 1, 1, 1, 0, 0), (5, 0); 0 // 1
2, 6, (5, 0, 0, 0, 0, 0), (0, 2); 0 // 1
2, 6, (5, 0, 0, 0, 0, 0), (2, 1); 0 // 1
2, 6, (5, 0, 0, 0, 0, 0), (4, 0); 0 // 1
2, 6, (4, 1, 0, 0, 0, 0), (0, 2); 0 // 1
2, 6, (4, 1, 0, 0, 0, 0), (2, 1); 0 // 1
2, 6, (4, 1, 0, 0, 0, 0), (4, 0); 0 // 1
2, 6, (3, 2, 0, 0, 0, 0), (0, 2); 0 // 1
2, 6, (3, 2, 0, 0, 0, 0), (2, 1); 0 // 1
2, 6, (3, 2, 0, 0, 0, 0), (4, 0); 0 // 1
2, 6, (3, 1, 1, 0, 0, 0), (0, 2); 0 // 1
2, 6, (3, 1, 1, 0, 0, 0), (2, 1); 0 // 1
2, 6, (3, 1, 1, 0, 0, 0), (4, 0); 0 // 1
2, 6, (2, 2, 1, 0, 0, 0), (0, 2); 0 // 1
2, 6, (2, 2, 1, 0, 0, 0), (2, 1); 0 // 1
2, 6, (2, 2, 1, 0, 0, 0), (4, 0); 0 // 1
2, 6, (2, 1, 1, 1, 0, 0), (0, 2); 0 // 1
2, 6, (2, 1, 1, 1, 0, 0), (2, 1); 0 // 1
2, 6, (2, 1, 1, 1, 0, 0), (4, 0); 0 // 1
2, 6, (1, 1, 1, 1, 1, 0), (0, 2); 0 // 1
2, 6, (1, 1, 1, 1, 1, 0), (2, 1); 0 // 1
2, 6, (1, 1, 1, 1, 1, 0), (4, 0); 0 // 1
